id,fecha,hora,cantidad_art,nombre_art,presentacion,precio,total_venta
1,2023-02-01,15:20:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
2,2023-02-01,19:42:00,4,NUECES,"500 g",300.00,1200.00
3,2023-02-01,17:25:00,1,"ALMOHADITAS FRUTILLA","250 g",400.00,400.00
4,2023-02-02,15:47:00,1,"PIMENTON DULCE","250 g",120.00,120.00
5,2023-02-02,10:55:00,5,NUECES,"300 g",300.00,1500.00
6,2023-02-02,15:06:00,1,LENTEJAS,"1 kg",300.00,300.00
7,2023-02-03,17:28:00,4,QUINOA,"500 g",600.00,2400.00
8,2023-02-03,09:45:00,1,LENTEJAS,"250 g",300.00,300.00
9,2023-02-03,20:36:00,2,NUECES,"300 g",300.00,600.00
10,2023-02-04,16:58:00,2,"ALMOHADITAS FRUTILLA","250 g",400.00,800.00
11,2023-02-04,12:18:00,3,"ALMOHADITAS FRUTILLA","250 g",400.00,1200.00
12,2023-02-04,14:52:00,3,"ALMOHADITAS FRUTILLA","300 g",400.00,1200.00
13,2023-02-05,16:50:00,3,NUECES,"500 g",300.00,900.00
14,2023-02-05,15:29:00,1,"ALMOHADITAS FRUTILLA","300 g",400.00,400.00
15,2023-02-05,16:53:00,3,"PIMENTON DULCE","500 g",120.00,360.00
16,2023-02-06,17:14:00,1,NUECES,"500 g",300.00,300.00
17,2023-02-06,08:33:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
18,2023-02-06,14:24:00,3,"PIMENTON DULCE","500 g",120.00,360.00
19,2023-02-07,13:15:00,5,"PIMENTON DULCE","500 g",120.00,600.00
20,2023-02-07,15:52:00,5,"ALMOHADITAS FRUTILLA","250 g",400.00,2000.00
21,2023-02-07,17:40:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
22,2023-02-08,18:09:00,3,QUINOA,"500 g",600.00,1800.00
23,2023-02-08,16:14:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
24,2023-02-08,13:30:00,4,NUECES,"250 g",300.00,1200.00
25,2023-02-09,09:15:00,4,"ALMOHADITAS FRUTILLA","300 g",400.00,1600.00
26,2023-02-09,12:26:00,1,QUINOA,"1 kg",600.00,600.00
27,2023-02-09,17:17:00,1,QUINOA,"500 g",600.00,600.00
28,2023-02-10,18:06:00,5,LENTEJAS,"250 g",300.00,1500.00
29,2023-02-10,16:59:00,5,QUINOA,"1 kg",600.00,3000.00
30,2023-02-10,18:51:00,1,QUINOA,"1 kg",600.00,600.00
31,2023-02-11,11:49:00,1,QUINOA,"1 kg",600.00,600.00
32,2023-02-11,17:25:00,1,LENTEJAS,"250 g",300.00,300.00
33,2023-02-11,14:56:00,1,"HARINA INTEGRAL","1 kg",2200.00,2200.00
34,2023-02-12,16:14:00,4,QUINOA,"500 g",600.00,2400.00
35,2023-02-12,19:25:00,3,"PIMENTON DULCE","500 g",120.00,360.00
36,2023-02-12,19:26:00,5,QUINOA,"1 kg",600.00,3000.00
37,2023-02-13,18:50:00,5,QUINOA,"1 kg",600.00,3000.00
38,2023-02-13,20:34:00,2,LENTEJAS,"1 kg",300.00,600.00
39,2023-02-13,08:01:00,4,"PIMENTON DULCE","500 g",120.00,480.00
40,2023-02-14,09:28:00,2,"HARINA INTEGRAL","1 kg",2200.00,4400.00
41,2023-02-14,19:55:00,3,NUECES,"500 g",300.00,900.00
